,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
426,20MICRONS,EQ,34.8,35.8,34,35.2,34.9,34.2,92010,3240935.05,06-12-2016,203,INE144J01027
427,20MICRONS,EQ,38.7,39,37.5,38.25,38.8,38.3,174582,6675377.25,28-09-2016,413,INE144J01027
428,20MICRONS,EQ,28.65,28.8,27.7,28.55,28.5,28.3,21378,604274.45,31-05-2016,198,INE144J01027
429,20MICRONS,EQ,30.8,30.85,28.8,29.25,29.5,30.9,14229,422689.45,24-05-2016,204,INE144J01027
430,20MICRONS,EQ,34.5,36,34.5,35.05,34.95,34.1,97928,3465314.6,08-01-2016,461,INE144J01027
431,20MICRONS,EQ,36,41.4,34.25,40.8,40.1,42.15,367774,14058958.05,09-11-2016,1930,INE144J01027
432,20MICRONS,EQ,28.55,28.6,27.5,27.9,28.15,28.3,24309,680104.85,09-06-2016,245,INE144J01027
433,20MICRONS,EQ,28.8,29.65,28.15,28.45,28.4,28.6,6716,190709.35,21-07-2016,73,INE144J01027
434,20MICRONS,EQ,26.45,26.8,25.7,26.6,26.5,26.4,5248,138237.65,09-02-2016,90,INE144J01027
435,20MICRONS,EQ,37.25,37.4,36.5,36.7,36.55,36.45,107724,3977100.05,03-10-2016,297,INE144J01027
436,20MICRONS,EQ,35.4,35.4,34.5,34.6,34.6,35,70277,2437917.55,19-12-2016,110,INE144J01027
437,20MICRONS,EQ,36.7,39.5,36.7,38.95,38.75,36.75,309001,11856802.35,22-09-2016,1789,INE144J01027
438,20MICRONS,EQ,27.2,27.75,26.9,27.6,27.6,26.45,48910,1333012.3,14-03-2016,190,INE144J01027
439,20MICRONS,EQ,26.8,27.25,26.1,27,26.7,26.1,61467,1627817.6,01-03-2016,158,INE144J01027
440,20MICRONS,EQ,29.15,30,28,28.25,28.15,29.15,95483,2789545.6,26-05-2016,337,INE144J01027
441,20MICRONS,EQ,27.4,27.4,26.5,26.85,26.7,27.2,9749,262890.8,09-03-2016,74,INE144J01027
442,20MICRONS,EQ,27.95,29.15,27.5,28.5,28.5,28.15,32780,928645.65,01-04-2016,209,INE144J01027
